Code,Package Type,包裝種類,包装种类,,,,,,,,,,,,,,,,
44,"Bag, polybag",塑料袋,塑料袋,,,,,,,,,,,,,,,,
7B,"Case, wooden",木箱,木箱,,,,,,,,,,,,,,,,
8A,"Pallet, wooden",木製托盤,木制托盘,,,,,,,,,,,,,,,,
8B,"Crate, wooden",木製板條箱,木制板条箱,,,,,,,,,,,,,,,,
AE,Aerosol,煙霧,烟雾,,,,,,,,,,,,,,,,
AM,"Ampoule, non-protected","小管,不受保護的","小管,不受保护的",,,,,,,,,,,,,,,,
AP,"Ampoule, protected","小管,受保護的","小管,受保护的",,,,,,,,,,,,,,,,
AT,Atomizer,噴霧器,喷雾器,,,,,,,,,,,,,,,,
BA,Barrel,大琵琶桶,大琵琶桶,,,,,,,,,,,,,,,,
BB,Bobbin,線軸,线轴,,,,,,,,,,,,,,,,
BC,Bottlecrate / bottlerack,瓶架,瓶架,,,,,,,,,,,,,,,,
BD,Board,板,板,,,,,,,,,,,,,,,,
BE,Bundle,捆,捆,,,,,,,,,,,,,,,,
BF,"Balloon, non-protected","氣球,不受保護的","气球,不受保护的",,,,,,,,,,,,,,,,
BG,Bag,袋,袋,,,,,,,,,,,,,,,,
BH,Bunch,束,束,,,,,,,,,,,,,,,,
BI,Bin,箱櫃,箱柜,,,,,,,,,,,,,,,,
BJ,Bucket,水桶,水桶,,,,,,,,,,,,,,,,
BK,Basket,籃,篮,,,,,,,,,,,,,,,,
BL,"Bale, compressed","包,被壓縮的","包,被压缩的",,,,,,,,,,,,,,,,
BN,"Bale, non-compressed","包,不被壓縮的","包,不被压缩的",,,,,,,,,,,,,,,,
BO,"Bottle, non-protected, cylindrical","圓柱形瓶,不受保護的","圆柱形瓶,不受保护的",,,,,,,,,,,,,,,,
BP,"Balloon, protected","氣球,受保護的","气球,受保护的",,,,,,,,,,,,,,,,
BQ,"Bottle, protected cylindrical","圓柱形瓶,受保護的","圆柱形瓶,受保护的",,,,,,,,,,,,,,,,
BR,Bar,棒,棒,,,,,,,,,,,,,,,,
BS,"Bottle, non-protected, bulbous","球形瓶,不受保護的","球形瓶,不受保护的",,,,,,,,,,,,,,,,
BT,Bolt,捲,卷,,,,,,,,,,,,,,,,
BU,Butt,大酒桶,大酒桶,,,,,,,,,,,,,,,,
BV,"Bottle, protected bulbous","球形瓶,受保護的","球形瓶,受保护的",,,,,,,,,,,,,,,,
BX,Box,盒,盒,,,,,,,,,,,,,,,,
BY,"Board, in bundle/bunch/truss","木板,束","木板,束",,,,,,,,,,,,,,,,
BZ,"Bars, in bundle/bunch/truss","棒,束","棒,束",,,,,,,,,,,,,,,,
CA,"Can, rectangular",方罐,方罐,,,,,,,,,,,,,,,,
CB,"Crate, beer",啤酒板,啤酒板,,,,,,,,,,,,,,,,
CC,Churn,大罐,大罐,,,,,,,,,,,,,,,,
CE,Creel,簍,篓,,,,,,,,,,,,,,,,
CF,Coffer,潛水箱,潜水箱,,,,,,,,,,,,,,,,
CG,Cage,籠,笼,,,,,,,,,,,,,,,,
CH,Chest,大箱,大箱,,,,,,,,,,,,,,,,
CI,Canister,小罐,小罐,,,,,,,,,,,,,,,,
CJ,Coffin,靈柩,灵柩,,,,,,,,,,,,,,,,
CK,Cask,桶,桶,,,,,,,,,,,,,,,,
CL,Coil,卷,卷,,,,,,,,,,,,,,,,
CN,Container,貨櫃箱,货柜箱,,,,,,,,,,,,,,,,
CO,"Carboy, non-protected","罎,不受保護的","罎,不受保护的",,,,,,,,,,,,,,,,
CP,"Carboy, protected","罎,受保護的","罎,受保护的",,,,,,,,,,,,,,,,
CR,Crate,板條箱,板条箱,,,,,,,,,,,,,,,,
CS,Case,箱,箱,,,,,,,,,,,,,,,,
CT,Carton,紙板箱,纸板箱,,,,,,,,,,,,,,,,
CU,Cup,杯,杯,,,,,,,,,,,,,,,,
CV,Cover,蓋,盖,,,,,,,,,,,,,,,,
CX,"Can, cylindrical",圓柱形罐,圆柱形罐,,,,,,,,,,,,,,,,
CY,Cylinder,圓筒形容器,圆筒形容器,,,,,,,,,,,,,,,,
CZ,Canvas,帆布,帆布,,,,,,,,,,,,,,,,
DJ,"Demijohn, non-protected","細頸大罎,不受保護的","细颈大罎,不受保护的",,,,,,,,,,,,,,,,
DP,"Demijohn, protected","細頸大罎,受保護的","细颈大罎,受保护的",,,,,,,,,,,,,,,,
DR,Drum,圓桶,圆桶,,,,,,,,,,,,,,,,
EN,Envelope,封套,封套,,,,,,,,,,,,,,,,
FB,Flexibag,彈性袋,弹性袋,,,,,,,,,,,,,,,,
FC,"Crate, fruit",水果板條箱,水果板条箱,,,,,,,,,,,,,,,,
FD,"Crate, framed",加外框的板條箱,加外框的板条箱,,,,,,,,,,,,,,,,
FE,Flexitank,膠櫃,胶柜,,,,,,,,,,,,,,,,
FI,Firkin,木製小桶,木制小桶,,,,,,,,,,,,,,,,
FL,Flask,細頸瓶,细颈瓶,,,,,,,,,,,,,,,,
FO,Footlocker,小型提箱,小型提箱,,,,,,,,,,,,,,,,
FP,Filmpack,軟片包裝,胶卷包装,,,,,,,,,,,,,,,,
FR,Frame,框架,框架,,,,,,,,,,,,,,,,
GB,"Bottle, gas",氣體瓶,气体瓶,,,,,,,,,,,,,,,,
GI,Girder,樑,梁,,,,,,,,,,,,,,,,
GL,"Container, gallon",容器，一加侖容量,容器，一加仑容量,,,,,,,,,,,,,,,,
GY,"Bag, gunny",黃麻布袋,黄麻布袋,,,,,,,,,,,,,,,,
GZ,"Girders, in bundle/bunch/truss","樑,束","梁,束",,,,,,,,,,,,,,,,
HG,Hogshead,大桶,大桶,,,,,,,,,,,,,,,,
HR,Hamper,食籃,食篮,,,,,,,,,,,,,,,,
IN,Ingot,錠,锭,,,,,,,,,,,,,,,,
IZ,"Ingots, in bundle/bunch/truss","錠,束","锭,束",,,,,,,,,,,,,,,,
JB,"Bag, jumbo",特大袋,特大袋,,,,,,,,,,,,,,,,
JC,"Jerrican, rectangular",方形罐,方形罐,,,,,,,,,,,,,,,,
JG,Jug,水壺,水壶,,,,,,,,,,,,,,,,
JR,Jar,廣口瓶,广口瓶,,,,,,,,,,,,,,,,
JT,Jutebag,黃麻包袋,黄麻包袋,,,,,,,,,,,,,,,,
JY,"Jerrican, cylindrical",圓形罐,圆形罐,,,,,,,,,,,,,,,,
KG,Keg,小桶,小桶,,,,,,,,,,,,,,,,
LG,Log,圓木,圆木,,,,,,,,,,,,,,,,
LZ,"Logs, in bundle/bunch/truss","圓木,束","圆木,束",,,,,,,,,,,,,,,,
MA,"Crate, metal",金屬板條箱,金属板条箱,,,,,,,,,,,,,,,,
MB,"Bag, multiply",袋,袋,,,,,,,,,,,,,,,,
MC,"Crate, milk",奶品板條箱,奶品板条箱,,,,,,,,,,,,,,,,
ME,"Container, metal",金屬容器,金属容器,,,,,,,,,,,,,,,,
MS,"Sack, multi-wall",多層麻包,多层麻包,,,,,,,,,,,,,,,,
MT,Mat,墊,垫,,,,,,,,,,,,,,,,
MX,Matchbox,火柴盒,火柴盒,,,,,,,,,,,,,,,,
NE,Unpacked or unpackaged,無包裝,无包装,,,,,,,,,,,,,,,,
NF,"Unpacked or unpackaged, single unit",部件,部件,,,,,,,,,,,,,,,,
NS,Nest,重疊箱,重迭箱,,,,,,,,,,,,,,,,
NT,Net,網,网,,,,,,,,,,,,,,,,
OA,"Pallet, CHEP 40 cm x 60 cm","托盤, CHEP (聯邦運作設備共享) 40 厘米 x 60 厘米","托盘, CHEP (联邦运作设备共享) 40 厘米 x 60 厘米",,,,,,,,,,,,,,,,
OB,"Pallet, CHEP 80 cm x 120 cm","托盤, CHEP (聯邦運作設備共享) 80 厘米 x 120 厘米","托盘, CHEP (联邦运作设备共享) 80 厘米 x 120 厘米",,,,,,,,,,,,,,,,
OC,"Pallet, CHEP 100 cm x 120 cm","托盤, CHEP (聯邦運作設備共享) 100 厘米 x 120 厘米","托盘, CHEP (联邦运作设备共享) 100 厘米 x 120 厘米",,,,,,,,,,,,,,,,
OD,"Pallet, AS 4068-1993","托盤, AS (澳洲標準) 4068-1993","托盘, AS (澳洲标准) 4068-1993",,,,,,,,,,,,,,,,
OE,"Pallet, ISO T11","托盤, ISO (國際標準化組織) T11","托盘, ISO (国际标准化组织) T11",,,,,,,,,,,,,,,,
OF,"Platform, unspecified weight or dimension","平台, 未說明重量或尺寸","平台, 未说明重量或尺寸",,,,,,,,,,,,,,,,
OG,Pallet ISO 0 - 1/2 EURO Pallet,托盤 ISO (國際標準化組織) 0 – 1/2歐洲托盤,托盘 ISO (国际标准化组织) 0 – 1/2歐洲托盘,,,,,,,,,,,,,,,,
OH,Pallet ISO 1 - 1/1 EURO Pallet,托盤 ISO (國際標準化組織) 1 – 1/1歐洲托盤,托盘 ISO (国际标准化组织) 1 – 1/1歐洲托盘,,,,,,,,,,,,,,,,
OI,Pallet ISO 2 – 2/1 EURO Pallet,托盤 ISO (國際標準化組織) 2 – 2/1歐洲托盤,托盘 ISO (国际标准化组织) 2 –2/1歐洲托盘,,,,,,,,,,,,,,,,
OJ,1/4 EURO Pallet,1/4歐洲托盤,1/4欧洲托盘,,,,,,,,,,,,,,,,
OK,Block,塊,块,,,,,,,,,,,,,,,,
OL,1/8 EURO Pallet,1/8歐洲托盤,1/8欧洲托盘,,,,,,,,,,,,,,,,
OM,Synthetic pallet ISO 1,合成托盤 ISO (國際標準化組織 )1,合成托盘 ISO (国际标准化组织 )1,,,,,,,,,,,,,,,,
ON,Synthetic pallet ISO 2,合成托盤 ISO (國際標準化組織 )2,合成托盘 ISO (国际标准化组织 )2,,,,,,,,,,,,,,,,
OP,Wholesaler pallet,批發商托盤,批发商托盘,,,,,,,,,,,,,,,,
OQ,Pallet 80 X 100 cm,托盤 80厘米 x 100 厘米,托盘 80厘米 x 100 厘米,,,,,,,,,,,,,,,,
OR,Pallet 60 X 100 cm,托盤 60厘米 x 100 厘米,托盘 60厘米 x 100 厘米,,,,,,,,,,,,,,,,
OS,Oneway pallet,單向托盤,单向托盘,,,,,,,,,,,,,,,,
OT,Octabin,硬紙板大箱,硬纸板大箱,,,,,,,,,,,,,,,,
OV,Returnable pallet,可回收托盤,可回收托盘,,,,,,,,,,,,,,,,
OW,"Large bag, pallet sized","大袋, 托盤尺寸","大袋, 托盘尺寸",,,,,,,,,,,,,,,,
OX,A wheeled pallet with raised rim (81 x 67 x 135 cm),帶有凸起邊緣 (81厘米x 67厘米x 135厘米)的輪式托盤,带有凸起边缘 (81厘米x 67厘米x 135厘米)的轮式托盘,,,,,,,,,,,,,,,,
OY,A Wheeled pallet with raised rim (81 x 72 x 135 cm),帶有凸起邊緣 (81厘米x 72厘米x 135厘米)的輪式托盤,带有凸起边缘 (81厘米x 72厘米x 135厘米)的轮式托盘,,,,,,,,,,,,,,,,
OZ,Wheeled pallet with raised rim ( 81 x 60 x 16 cm),帶有凸起邊緣 (81厘米x 60厘米x 16厘米)的輪式托盤,带有凸起边缘 (81厘米x 60厘米x 16厘米)的轮式托盘,,,,,,,,,,,,,,,,
O1,Two sided cage on wheels with fixing strap,雙側滾籠車包括固定皮帶,双侧滚笼车包括固定皮带,,,,,,,,,,,,,,,,
O2,Trolley,手推車,手推车,,,,,,,,,,,,,,,,
O3,Oneway pallet ISO 0 - 1/2 EURO Pallet,單向托盤 ISO (國際標準化組織) 0 –1/2歐洲托盤,单向托盘 ISO (国际标准化组织) 0 –1/2欧洲托盘,,,,,,,,,,,,,,,,
O4,Oneway pallet ISO 1 - 1/1 EURO Pallet,單向托盤ISO (國際標準化組織) 1 –1/1歐洲托盤,单向托盘ISO (国际标准化组织) 1 –1/1欧洲托盘,,,,,,,,,,,,,,,,
O5,Oneway pallet ISO 2 - 2/1 EURO Pallet,單向托盤ISO (國際標準化組織) 2 –2/1歐洲托盤,单向托盘ISO (国际标准化组织) 2 –2/1欧洲托盘,,,,,,,,,,,,,,,,
O6,Pallet with exceptional dimensions,非標準尺寸托盤,非标准尺寸托盘,,,,,,,,,,,,,,,,
O7,Wooden pallet 40 cm x 80 cm,木製托盤40厘米x 80厘米,木制托盘40厘米x 80厘米,,,,,,,,,,,,,,,,
O8,Plastic pallet SRS 60 cm x 80 cm,塑膠托盤SRS (Svenska Retursystem) 60厘米 x 80厘米,塑胶托盘SRS (Svenska Retursystem) 60厘米 x 80厘米,,,,,,,,,,,,,,,,
O9,Plastic pallet SRS 80 cm x 120 cm,塑膠托盤SRS (Svenska Retursystem) 80厘米 x 120厘米,塑胶托盘SRS (Svenska Retursystem) 80厘米 x 120厘米,,,,,,,,,,,,,,,,
PA,Packet,小包,小包,,,,,,,,,,,,,,,,
PC,Parcel,包裹,包裹,,,,,,,,,,,,,,,,
PG,Plate,盤,盘,,,,,,,,,,,,,,,,
PH,Pitcher,大水罐,大水罐,,,,,,,,,,,,,,,,
PI,Pipe,管,管,,,,,,,,,,,,,,,,
PK,Package,包裹,包裹,,,,,,,,,,,,,,,,
PL,Pail,提桶,提桶,,,,,,,,,,,,,,,,
PN,Plank,厚木板,厚木板,,,,,,,,,,,,,,,,
PO,Pouch,小袋,小袋,,,,,,,,,,,,,,,,
PT,Pot,罐,罐,,,,,,,,,,,,,,,,
PU,Tray,盤,盘,,,,,,,,,,,,,,,,
PV,"Pipes, in bundle/bunch/truss","管,束","管,束",,,,,,,,,,,,,,,,
PX,Pallet,托盤,托盘,,,,,,,,,,,,,,,,
PY,"Plates, in bundle/bunch/truss","盤,束","盘,束",,,,,,,,,,,,,,,,
P1,CHEP pallet 60 cm x 80 cm,CHEP (聯邦運作設備共享) 托盤 60厘米 x 80厘米,CHEP (联邦运作设备共享) 托盘 60厘米 x 80厘米,,,,,,,,,,,,,,,,
P3,LPR pallet 60 cm x 80 cm,LPR (La Pallet Rouge) 托盤 60厘米 x 80厘米,LPR (La Pallet Rouge) 托盘 60厘米 x 80厘米,,,,,,,,,,,,,,,,
P4,LPR pallet 80 cm x 120 cm,LPR (La Pallet Rouge) 托盤 80厘米 x 120厘米,LPR (La Pallet Rouge) 托盘 80厘米 x 120厘米,,,,,,,,,,,,,,,,
RD,Rod,桿,杆,,,,,,,,,,,,,,,,
RG,Ring,環,环,,,,,,,,,,,,,,,,
RJ,"Rack, clothing hanger",掛衣,挂衣,,,,,,,,,,,,,,,,
RL,Reel,卷軸,卷轴,,,,,,,,,,,,,,,,
RO,Roll,卷,卷,,,,,,,,,,,,,,,,
RT,Rednet,網,网,,,,,,,,,,,,,,,,
RZ,"Rods, in bundle/bunch/truss","桿,束","杆,束",,,,,,,,,,,,,,,,
SA,Sack,麻袋,麻袋,,,,,,,,,,,,,,,,
SC,"Crate, shallow",淺板條箱,浅板条箱,,,,,,,,,,,,,,,,
SD,Spindle,紗錠,纱锭,,,,,,,,,,,,,,,,
SE,Sea-chest,航海箱,航海箱,,,,,,,,,,,,,,,,
SH,Sachet,香袋,香袋,,,,,,,,,,,,,,,,
SI,Skid,底盤,底盘,,,,,,,,,,,,,,,,
SK,"Case, skeleton",骨骼箱,骨骼箱,,,,,,,,,,,,,,,,
SL,Slipsheet,張,张,,,,,,,,,,,,,,,,
SM,Sheetmetal,金屬片,金属片,,,,,,,,,,,,,,,,
ST,Sheet,張,张,,,,,,,,,,,,,,,,
SU,Suitcase,手提箱,手提箱,,,,,,,,,,,,,,,,
SW,Shrinkwrapped,包裹,包裹,,,,,,,,,,,,,,,,
SX,Set,套,套,,,,,,,,,,,,,,,,
SZ,"Sheets, in bundle/bunch/truss","張,束","张,束",,,,,,,,,,,,,,,,
TB,Tub,浴盆,浴盆,,,,,,,,,,,,,,,,
TC,Tea-chest,茶葉箱,茶叶箱,,,,,,,,,,,,,,,,
TD,"Tube, collapsible","桶,可折疊的","桶,可折迭的",,,,,,,,,,,,,,,,
TG,"Tank container, generic",普通罐式集裝箱,普通罐式集装箱,,,,,,,,,,,,,,,,
TK,"Tank, rectangular",方形槽,方形槽,,,,,,,,,,,,,,,,
TN,Tin,罐頭,罐头,,,,,,,,,,,,,,,,
TO,Tun,大桶,大桶,,,,,,,,,,,,,,,,
TR,Trunk,箱,箱,,,,,,,,,,,,,,,,
TS,Truss,"捆,束","捆,束",,,,,,,,,,,,,,,,
TU,Tube,管,管,,,,,,,,,,,,,,,,
TW,"Pallet, triwall",瓦楞紙板托盤,瓦楞纸板托盘,,,,,,,,,,,,,,,,
TY,"Tank, cylindrical",圓形槽,圆形槽,,,,,,,,,,,,,,,,
TZ,"Tubes, in bundle/bunch/truss","管,束","管,束",,,,,,,,,,,,,,,,
VA,Vat,大桶,大桶,,,,,,,,,,,,,,,,
VG,"Bulk, gas (at 1031 mbar and 15°C)",大量氣體,大量气体,,,,,,,,,,,,,,,,
VI,Vial,小瓶,小瓶,,,,,,,,,,,,,,,,
VL,"Bulk, liquid",流體,流体,,,,,,,,,,,,,,,,
VO,"Bulk, solid, large particles (“nodules”)",大量固體顆粒,大量固体颗粒,,,,,,,,,,,,,,,,
VP,Vacuum-packed,真空包裝的,真空包装的,,,,,,,,,,,,,,,,
VQ,"Bulk, liquefied gas (at abnormal temperature/pressure)",大量液化氣體,大量液化气体,,,,,,,,,,,,,,,,
VR,"Bulk, solid, granular particles (“grains”)","大量,固體,粗糙顆粒","大量,固体,粗糙颗粒",,,,,,,,,,,,,,,,
VY,"Bulk, solid, fine particles (“powders”)","大量,固體,精細顆粒","大量,固体,精细颗粒",,,,,,,,,,,,,,,,
WB,Wickerbottle,瓶,瓶,,,,,,,,,,,,,,,,